"OBJECTID","PLN_AREA_N","PLN_AREA_C","CA_IND","REGION_N","REGION_C","INC_CRC","FMEL_UPD_D","X_ADDR","Y_ADDR","SHAPE_Leng","SHAPE_Area"
45,"KALLANG","KL","N","CENTRAL REGION","CR","229F1481FF686959","2014/12/05",31685.373,32515.7735,15584.1377237,9169901.64044
46,"SIMPANG","SM","N","NORTH REGION","NR","B5B8509F389104C6","2014/12/05",30181.2593,47305.151,18102.0124169,8283191.21988
47,"SUNGEI KADUT","SK","N","NORTH REGION","NR","71B6667147A27784","2014/12/05",19558.1699,44434.8383,20237.3531476,17589075.0965
48,"TAMPINES","TM","N","EAST REGION","ER","A19EFC24681FB665","2014/12/05",41459.4794,36200.4703,22170.7106238,20970769.1587
49,"WESTERN ISLANDS","WI","N","WEST REGION","WR","B767C4DCBED24803","2014/12/05",14167.0322,25793.2301,111546.683409,45878779.1168
50,"TANGLIN","TN","N","CENTRAL REGION","CR","6C0F97AECAFBF790","2014/12/05",26250.0938,32298.9257,13832.3946584,7552393.4784
51,"OUTRAM","OT","Y","CENTRAL REGION","CR","736C77537EA35E27","2014/12/05",28972.9577,29477.4886,6158.95833313,1373186.29796
52,"RIVER VALLEY","RV","Y","CENTRAL REGION","CR","3873927C9F28D311","2014/12/05",28072.9131,31156.9405,6500.52551832,1474964.12811
53,"ROCHOR","RC","Y","CENTRAL REGION","CR","56597B444C0B3106","2014/12/05",30219.3193,31843.5189,7849.95903169,1618241.13481
54,"SINGAPORE RIVER","SR","Y","CENTRAL REGION","CR","6E975674F87A9B7E","2014/12/05",28878.2147,30279.8445,6831.13097867,957581.110167
55,"STRAITS VIEW","SV","Y","CENTRAL REGION","CR","214517996521BE9C","2014/12/05",30832.9017,28194.0843,5277.76082729,1127297.23737
