BusStopCode,planning_area,Longitude,Latitude,Description,RoadName,subzone_name
8011,Museum,103.8436103,1.29706985,Opp Haw Par Glass Twr,Clemenceau Ave,Dhoby Ghaut
8019,Museum,103.8440701,1.296246337,Aft Haw Par Glass Twr,Clemenceau Ave,Fort Canning
8031,Museum,103.845257,1.298311538,Dhoby Ghaut Stn Exit B,Penang Rd,Dhoby Ghaut
8041,Museum,103.8478064,1.298110142,YMCA,Orchard Rd,Bras Basah
8057,Museum,103.8452902,1.299309973,Dhoby Ghaut Stn,Orchard Rd,Dhoby Ghaut
8058,Museum,103.8465412,1.298958343,Aft Dhoby Ghaut Stn,Orchard Rd,Dhoby Ghaut
8069,Museum,103.8493613,1.298213823,BENCOOLEN STN EXIT B,Bras Basah Rd,Bras Basah
8079,Museum,103.8491033,1.299214444,Sch of the Arts,Prinsep St,Dhoby Ghaut
8111,Orchard,103.8409375,1.299869287,Winsland Hse,Penang Rd,Somerset
8121,Orchard,103.8387762,1.300275693,Somerset Stn,Somerset Rd,Somerset
8137,Orchard,103.841005,1.300739684,Orchard Plaza,Orchard Rd,Somerset
8138,Orchard,103.841847,1.300478573,Concorde Hotel S'pore,Orchard Rd,Somerset
9011,Orchard,103.8343167,1.302113351,Opp Ngee Ann City,Orchard Turn,Boulevard
9022,River Valley,103.8323978,1.302528348,Bef Orchard Stn Exit B,Orchard Blvd,Paterson
9023,Orchard,103.8325418,1.303237273,Opp Orchard Stn/ION,Orchard Turn,Boulevard
9037,Orchard,103.8370125,1.302340042,Opp Mandarin Orchard,Orchard Rd,Somerset
9038,Orchard,103.8385248,1.301542625,Opp Somerset Stn,Orchard Rd,Somerset
9047,Orchard,103.8329447,1.304460652,Orchard Stn/Tang Plaza,Orchard Rd,Boulevard
9048,Orchard,103.8341307,1.303866844,Orchard Stn/Lucky Plaza,Orchard Rd,Boulevard
9059,Orchard,103.836238,1.300442518,Natl Youth Council,Grange Rd,Somerset
9111,River Valley,103.8291453,1.304537526,Opp Four Seasons Hotel,Orchard Blvd,One Tree Hill
9121,River Valley,103.8269965,1.303973792,Bef Tomlinson Rd,Orchard Blvd,One Tree Hill
9131,Tanglin,103.8233381,1.30392,Grange Residences,Grange Rd,Chatsworth
9139,Orchard,103.8235479,1.304199419,Aft Cuscaden Rd,Grange Rd,Tanglin
9141,Tanglin,103.8217767,1.305435,British Council,Napier Rd,Ridout
9149,Tanglin,103.8212215,1.306089814,Opp British Council,Napier Rd,Nassim
9159,Orchard,103.8256804,1.306026376,Aft Tomlinson Rd,Tanglin Rd,Nassim
9169,Orchard,103.8283551,1.307013533,Delfi Orchard,Orchard Rd,Boulevard
9179,Orchard,103.83049,1.305879662,Royal Thai Embassy,Orchard Rd,Boulevard
9191,Orchard,103.8254976,1.304886531,The Regent S'pore,Tomlinson Rd,Tanglin
9212,Orchard,103.8326552,1.307022384,Royal Plaza On Scotts,Scotts Rd,Boulevard
9213,Orchard,103.8330508,1.307838056,Thong Teck Bldg,Scotts Rd,Boulevard
9219,Orchard,103.8331609,1.307319997,Far East Plaza,Scotts Rd,Boulevard
10009,Bukit Merah,103.8172248,1.282101559,Bt Merah Int,Bt Merah Ctrl,Bukit Merah
10011,Bukit Merah,103.8374971,1.277738059,BEF NEIL RD,New Bridge Rd,Everton Park
10017,Bukit Merah,103.8376257,1.278320466,Aft Hosp Dr,Eu Tong Sen St,Singapore General Hospital
10018,Bukit Merah,103.8386036,1.279008197,Outram Pk Stn Exit F/SGH,Eu Tong Sen St,Singapore General Hospital
10021,Bukit Merah,103.8383889,1.277448379,Blk 3,Neil Rd,Everton Park
10041,Bukit Merah,103.8351907,1.276058348,BEF KAMPONG BAHRU TER,Kg Bahru Rd,Everton Park
10049,Bukit Merah,103.8348379,1.276233024,OPP KAMPONG BAHRU TER,Kg Bahru Rd,Singapore General Hospital
10051,Bukit Merah,103.8321441,1.277411635,Blk 149,Jln Bt Merah,Kampong Tiong Bahru
10059,Bukit Merah,103.8327518,1.277396642,Opp Blk 149,Jln Bt Merah,Singapore General Hospital
10061,Bukit Merah,103.8294864,1.278604722,Blk 140,Jln Bt Merah,Kampong Tiong Bahru
10069,Bukit Merah,103.8300825,1.278554722,Opp Blk 140,Jln Bt Merah,Singapore General Hospital
10071,Bukit Merah,103.8263892,1.280453094,Blk 111,Jln Bt Merah,Kampong Tiong Bahru
10079,Bukit Merah,103.8270891,1.280395014,Blk 201,Jln Bt Merah,Tiong Bahru Station
10081,Bukit Merah,103.8224174,1.282278354,Opp Blk 120,Jln Bt Merah,Bukit Merah
10089,Bukit Merah,103.8216566,1.282923322,Blk 119,Jln Bt Merah,Henderson Hill
10091,Bukit Merah,103.8178396,1.283941086,Bt Merah Town Ctr,Jln Bt Merah,Bukit Merah
10099,Bukit Merah,103.8176572,1.284209239,Opp Bt Merah Town Ctr,Jln Bt Merah,Redhill
10101,Bukit Merah,103.8137833,1.285061952,OPP BT MERAH SEC SCH,Jln Bt Merah,Bukit Merah
10109,Bukit Merah,103.8137053,1.285353157,BT MERAH SEC SCH,Jln Bt Merah,Alexandra Hill
10111,Bukit Merah,103.8093541,1.285928351,Opp Blk 28,Jln Bt Merah,Alexandra Hill
10119,Bukit Merah,103.8112252,1.28598009,Opp Pacific Tech Ctr,Jln Bt Merah,Alexandra Hill
10121,Bukit Merah,103.8289054,1.282599246,Blk 126 CP,Kim Tian Rd,Tiong Bahru
10129,Bukit Merah,103.8285719,1.28232,Blk 121,Kim Tian Rd,Tiong Bahru Station
10131,Bukit Merah,103.8068655,1.286191414,Opp Blk 2,Jln Bt Merah,Alexandra Hill
10139,Bukit Merah,103.8081,1.286351354,Blk 1,Jln Bt Merah,Alexandra Hill
10141,Bukit Merah,103.8323818,1.285838471,Blk 18,Tiong Bahru Rd,Tiong Bahru
10149,Bukit Merah,103.8328338,1.286067975,Blk 1,Tiong Bahru Rd,Tiong Bahru
10151,Bukit Merah,103.8285292,1.285720484,Ctrl Green Condo,Tiong Bahru Rd,Tiong Bahru Station
10161,Bukit Merah,103.8266897,1.285931354,Opp Tiong Bahru Stn,Tiong Bahru Rd,Tiong Bahru Station
10169,Bukit Merah,103.8274812,1.285999614,Tiong Bahru Stn,Tiong Bahru Rd,Tiong Bahru Station
10171,Bukit Merah,103.82346,1.28736808,Opp Tiong Bahru Pk,Tiong Bahru Rd,Henderson Hill
10179,Bukit Merah,103.8239583,1.287223333,Tiong Bahru Pk,Tiong Bahru Rd,Henderson Hill
10181,Bukit Merah,103.8210974,1.288503994,BEF AR-RABITAH MQUE,Tiong Bahru Rd,Henderson Hill
10189,Bukit Merah,103.8218319,1.288588052,Blk 104A CP,Tiong Bahru Rd,Henderson Hill
10191,Bukit Merah,103.8190312,1.28860026,Blk 78,Tiong Bahru Rd,Redhill
10199,Bukit Merah,103.8193662,1.288757233,Delta Swim Cplx,Tiong Bahru Rd,Henderson Hill
10201,Bukit Merah,103.8166285,1.289281445,Opp Redhill Stn,Tiong Bahru Rd,Redhill
10209,Bukit Merah,103.8167289,1.289546317,Redhill Stn,Tiong Bahru Rd,Redhill
10211,Bukit Merah,103.8114417,1.290755,Porsche Ctr S'pore,Leng Kee Rd,Alexandra Hill
10219,Bukit Merah,103.8119142,1.290895267,Opp Motor Image,Leng Kee Rd,Alexandra Hill
10221,Bukit Merah,103.8311179,1.290329066,Ganges Ctr,Ganges Ave,Bukit Ho Swee
10229,Bukit Merah,103.8317819,1.290521378,Opp Harvest Mansions,Ganges Ave,Bukit Ho Swee
10231,Bukit Merah,103.827881,1.290418509,Blk 51 CP,Ganges Ave,Bukit Ho Swee
10239,Bukit Merah,103.828653,1.290606888,Blk 79,Ganges Ave,Bukit Ho Swee
10241,Bukit Merah,103.8236233,1.290616667,Gan Eng Seng Sec Sch,Alexandra Rd,Henderson Hill
10249,Bukit Merah,103.8240778,1.290881389,Opp Gan Eng Seng Sec Sch,Alexandra Rd,Alexandra North
10261,Bukit Merah,103.8204723,1.290903358,Delta Sports Hall,Alexandra Rd,Henderson Hill
10269,Bukit Merah,103.8205758,1.291253319,Opp Delta Sports Hall,Alexandra Rd,Alexandra North
10271,Bukit Merah,103.8175767,1.29116,Opp Tanglin View,Alexandra Rd,Redhill
10279,Bukit Merah,103.8175766,1.291513732,Tanglin View,Alexandra Rd,Alexandra North
10281,Bukit Merah,103.8144517,1.291538333,SIS Bldg,Alexandra Rd,Alexandra Hill
10289,Queenstown,103.8144064,1.291869975,Opp SIS Bldg,Alexandra Rd,Margaret Drive
10291,Bukit Merah,103.8106587,1.292158553,Bef Dawson Rd,Alexandra Rd,Alexandra Hill
10299,Queenstown,103.8114649,1.292334985,Aft Dawson Rd,Alexandra Rd,Margaret Drive
10321,Queenstown,103.8158784,1.294283329,Aft Margaret Dr,Tanglin Rd,Margaret Drive
10329,Bukit Merah,103.8159746,1.293646713,Crescent Girls' Sch,Tanglin Rd,Alexandra North
10331,Bukit Merah,103.8183442,1.281363066,Bef Bt Merah Ctrl,Henderson Rd,Bukit Merah
10339,Bukit Merah,103.8185725,1.281158351,Aft Bt Merah Ctrl,Henderson Rd,Bukit Merah
10341,Bukit Merah,103.820593,1.284846396,Opp Blk 116,Henderson Rd,Henderson Hill
10349,Bukit Merah,103.8210415,1.284983341,Blk 116,Henderson Rd,Henderson Hill
10351,Bukit Merah,103.8220499,1.286755018,Bef Tiong Bahru Rd,Henderson Rd,Henderson Hill
